Well,Pu-01,Pu-01,Pu-01,Pu-01,Pu-01,Pu-01,Pu-02,Pu-02,Pu-02,Pu-02,Pu-02,Pu-02,Pu-03,Pu-03,Pu-03,Pu-03,Pu-03,Pu-03,Pu-04,Pu-04,Pu-04,Pu-04,Pu-04,Pu-04,Pu-05,Pu-05,Pu-05,Pu-05,Pu-05,Pu-05,Co-01,Co-01,Co-01,Co-01,Co-01,Co-01,Co-2,Co-2,Co-2,Co-2,Co-2,Co-2,Ga-01,Ga-01,Ga-01,Ga-01,Ga-01,Ga-01,Ga-02,Ga-02,Ga-02,Ga-02,Ga-02,Ga-02,Ga-03,Ga-03,Ga-03,Ga-03,Ga-03,Ga-03,Ga-04,Ga-04,Ga-04,Ga-04,Ga-04,Ga-04,Cr-01,Cr-01,Cr-01,Cr-01,Cr-01,Cr-01,Cr-02,Cr-02,Cr-02,Cr-02,Cr-02,Cr-02,Pd-01,Pd-01,Pd-01,Pd-01,Pd-01,Pd-01,Pd-02,Pd-02,Pd-02,Pd-02,Pd-02,Pd-02
Day of Production,Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf),Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf)
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.361,47.486," 3,840.30 ", 5.752 , 12.112 ," 24,426.60 "
1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565,0.000," 3,727.35 ", -   , 1.565 ," 5,831.46 ",,,,,,
1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.956,50.767," 1,231.25 ", 4.079 , 8.035 ," 4,870.55 ",,,,,,,,,,,,
1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.700,44.020," 1,483.38 ", 2.909 , 6.609 ," 5,488.11 ",,,,,,,,,,,,,,,,,,
1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.278,10.241," 1,275.00 ", 0.374 , 3.652 ," 4,179.52 ",,,,,,,,,,,,,,,,,,,,,,,,
1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.083,45.090," 1,275.00 ", 5.816 , 12.899 ," 9,030.81 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.488,40.821," 1,275.00 ", 5.855 , 14.344 ," 10,822.74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.791,40.372," 1,287.50 ", 3.921 , 9.713 ," 7,456.39 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.000,3.838, 737.04 , 0.200 , 5.200 ," 3,685.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.647,26.796, 989.88 , 7.924 , 29.571 ," 21,427.95 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,,,,,,,,,,,,,,,,,,,,,,,,,11.573,0.135," 4,882.98 ", 0.016 , 11.589 ," 56,512.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,,,,,,,,,,,,,,,,,,,7.128,6.064," 6,052.68 ", 0.460 , 7.588 ," 43,145.49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,,,,,,,,,,,,,5.878,13," 4,176.90 ", 0.878 , 6.757 ," 24,553.57 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,,,,,,,13.662,54.078," 1,967.58 ", 16.088 , 29.749 ," 26,880.11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,3.214,71.297," 3,464.81 ", 7.983 , 11.196 ," 11,134.49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
