Well,Well Intervention Type,"Cost, $","Intervention Effort, man-hr","Increase in Oil Rate, %","Cost of Well Test, $","Well Test Effort, man-hr","Probability of Anomaly if no Well Test is conducted, %"
Pu-01,Water Shutoff,50000,80,3,15000,0,1
Pu-01,Acidizing,75000,60,5,15000,0,3
Pu-01,Hydraulic Fracturing,80000,30,9,15000,0,5
Pu-01,No Intervention,0,0,0,15000,0,5
Pu-01,Risky To Skip Test,15000,0,0,15000,0,100
Pu-01,Safe To Skip Test,15000,0,0,15000,0,0
Pu-01,OK To Skip Test,15000,0,0,15000,0,5
Pu-02,Water Shutoff,50000,80,3,15000,0,2
Pu-02,Acidizing,75000,60,5,15000,0,6
Pu-02,Hydraulic Fracturing,80000,30,9,15000,0,7
Pu-02,No Intervention,0,0,0,15000,0,7
Pu-02,Risky To Skip Test,15000,0,0,15000,0,100
Pu-02,Safe To Skip Test,15000,0,0,15000,0,0
Pu-02,OK To Skip Test,15000,0,0,15000,0,7
Pu-03,Water Shutoff,50000,80,3,15000,0,4
Pu-03,Acidizing,75000,60,5,15000,0,3
Pu-03,Hydraulic Fracturing,80000,30,9,15000,0,7
Pu-03,No Intervention,0,0,0,15000,0,7
Pu-03,Risky To Skip Test,15000,0,0,15000,0,100
Pu-03,Safe To Skip Test,15000,0,0,15000,0,0
Pu-03,OK To Skip Test,15000,0,0,15000,0,7
Pu-04,Water Shutoff,50000,80,3,15000,0,3
Pu-04,Acidizing,75000,60,5,15000,0,5
Pu-04,Hydraulic Fracturing,80000,30,9,15000,0,4
Pu-04,No Intervention,0,0,0,15000,0,4
Pu-04,Risky To Skip Test,15000,0,0,15000,0,100
Pu-04,Safe To Skip Test,15000,0,0,15000,0,0
Pu-04,OK To Skip Test,15000,0,0,15000,0,4
Pu-05,Water Shutoff,50000,80,3,15000,0,3
Pu-05,Acidizing,75000,60,5,15000,0,1
Pu-05,Hydraulic Fracturing,80000,30,9,15000,0,2
Pu-05,No Intervention,0,0,0,15000,0,2
Pu-05,Risky To Skip Test,15000,0,0,15000,0,100
Pu-05,Safe To Skip Test,15000,0,0,15000,0,0
Pu-05,OK To Skip Test,15000,0,0,15000,0,2
Co-01,Water Shutoff,50000,80,3,15000,0,3
Co-01,Acidizing,75000,60,5,15000,0,4
Co-01,Hydraulic Fracturing,80000,30,9,15000,0,6
Co-01,No Intervention,0,0,0,15000,0,6
Co-01,Risky To Skip Test,15000,0,0,15000,0,100
Co-01,Safe To Skip Test,15000,0,0,15000,0,0
Co-01,OK To Skip Test,15000,0,0,15000,0,6
Co-02,Water Shutoff,50000,80,3,15000,0,7
Co-02,Acidizing,75000,60,5,15000,0,4
Co-02,Hydraulic Fracturing,80000,30,9,15000,0,2
Co-02,No Intervention,0,0,0,15000,0,2
Co-02,Risky To Skip Test,15000,0,0,15000,0,100
Co-02,Safe To Skip Test,15000,0,0,15000,0,0
Co-02,OK To Skip Test,15000,0,0,15000,0,2
Ga-01,Water Shutoff,50000,80,5,15000,0,4
Ga-01,Acidizing,75000,60,7,15000,0,5
Ga-01,Hydraulic Fracturing,80000,30,11,15000,0,9
Ga-01,No Intervention,0,0,0,15000,0,9
Ga-01,Risky To Skip Test,15000,0,0,15000,0,100
Ga-01,Safe To Skip Test,15000,0,0,15000,0,0
Ga-01,OK To Skip Test,15000,0,0,15000,0,9
Ga-02,Water Shutoff,50000,80,3,15000,0,10
Ga-02,Acidizing,75000,60,8,15000,0,4
Ga-02,Hydraulic Fracturing,80000,30,9,15000,0,2
Ga-02,No Intervention,0,0,0,15000,0,2
Ga-02,Risky To Skip Test,15000,0,0,15000,0,100
Ga-02,Safe To Skip Test,15000,0,0,15000,0,0
Ga-02,OK To Skip Test,15000,0,0,15000,0,2
Ga-03,Water Shutoff,50000,45,7,15000,0,5
Ga-03,Acidizing,75000,75,5,15000,0,4
Ga-03,Hydraulic Fracturing,80000,80,9,15000,0,3
Ga-03,No Intervention,0,0,0,15000,0,3
Ga-03,Risky To Skip Test,15000,0,0,15000,0,100
Ga-03,Safe To Skip Test,15000,0,0,15000,0,0
Ga-03,OK To Skip Test,15000,0,0,15000,0,3
Ga-04,Water Shutoff,50000,80,6,15000,0,2
Ga-04,Acidizing,75000,60,7,15000,0,6
Ga-04,Hydraulic Fracturing,80000,30,9,15000,0,2
Ga-04,No Intervention,0,0,0,15000,0,2
Ga-04,Risky To Skip Test,15000,0,0,15000,0,100
Ga-04,Safe To Skip Test,15000,0,0,15000,0,0
Ga-04,OK To Skip Test,15000,0,0,15000,0,2
Cr-01,Water Shutoff,50000,80,3,15000,0,3
Cr-01,Acidizing,75000,60,5,15000,0,4
