Day of Production,Oil Rate (mbd),Water Cut (%),GOR (scf/stb),Water Rate (mbd),Liquid Rate (mbd),Gas Rate (mscf)
1095,Pu-01,3.206070423,73.00000197,3419,8.668265343,11.87433577,10961.55478
1095,Pu-02,14.8786993,49.90000197,1929.000047,14.81930447,29.69800377,28701.01166
1095,Pu-03,6.94942522,0,4095,0,6.94942522,28457.89628
1095,Pu-04,7.154922962,5.499999726,5975,0.416424066,7.571347028,42750.6647
1095,Pu-05,12.12991238,0,5034,0,12.12991238,61061.9789
1095,Co-01,24.24924469,22.50000034,876,7.040103436,31.28934813,21242.33835
1095,Co-02,5.401380062,0,664,0,5.401380062,3586.516361
1095,Ga-01,5.90822649,39.29999757,1250,3.825259924,9.733486414,7385.283113
1095,Ga-02,9.982571602,32.20000028,1250,4.740985394,14.723557,12478.2145
1095,Ga-03,7.744441032,41.4000025,1250,5.471329212,13.21577024,9680.551291
1095,Ga-04,3.885821819,9.799997171,1250,0.422184497,4.308006316,4857.277274
1095,Cr-01,3.918684959,43.30378761,1476,2.993037701,6.91172266,5783.979
1095,Cr-02,4.347689629,50.20000253,1250,4.382611275,8.730300903,5434.612036
1095,Pd-01,1.740804434,0,3765,0,1.740804434,6554.128693
1095,Pd-02,6.636910439,45.59999969,3765,5.563292503,12.20020294,24987.9678
1096,Pu-01,3.204997758,73.00100197,3419,8.665804832,11.87080259,10957.88733
1096,Pu-02,14.87372129,49.90200197,1929.000047,14.81553152,29.68925281,28691.40907
1096,Pu-03,6.947100128,0,4095,0,6.947100128,28448.37503
1096,Pu-04,7.152529116,5.507999726,5975,0.416925542,7.569454658,42736.36147
1096,Pu-05,12.12585403,0,5034,0,12.12585403,61041.5492
1096,Co-01,24.24436905,22.55000034,876,7.058883574,31.30325262,21238.06729
1096,Co-02,5.400294041,0.05,664,0.002701498,5.402995539,3585.795243
1096,Ga-01,5.905051371,39.31999757,1250,3.826410617,9.731461988,7381.314214
1096,Ga-02,9.977816585,32.21000028,1250,4.740898013,14.7187146,12472.27073
1096,Ga-03,7.74140976,41.4050025,1250,5.470314945,13.21172471,9676.7622
1096,Ga-04,3.883733554,9.804997171,1250,0.4221963,4.305929854,4854.666942
1096,Cr-01,3.913519573,43.30478761,1476,2.989214199,6.902733772,5776.35489
1096,Cr-02,4.341958753,50.20100253,1250,4.377009447,8.718968199,5427.448441
1096,Pd-01,1.740454421,0,3765,0,1.740454421,6552.810897
1096,Pd-02,6.635575998,45.60099969,3765,5.562398155,12.19797415,24982.94363
1097,Pu-01,3.203925451,73.00200197,3419,8.66334503,11.86727048,10954.22112
