id,lat,long
"(29.62643463 -93.03469455)",29.62643463,-93.03469455
"(29.51189514 -93.27552343)",29.51189514,-93.27552343
"(29.38995745 -93.01459116)",29.38995745,-93.01459116
"(29.42296014 -93.16508564)",29.42296014,-93.16508564
"(29.35871609 -93.20055029)",29.35871609,-93.20055029
"(29.396255 -93.25101488)",29.396255,-93.25101488
"(29.39629102 -93.25099673)",29.39629102,-93.25099673
"(29.39625031 -93.250949)",29.39625031,-93.250949
"(29.40348222 -93.16938806)",29.40348222,-93.16938806
"(28.79434431 -93.02154729)",28.79434431,-93.02154729
"(29.68155624 -93.72762348)",29.68155624,-93.72762348
"(29.64627646 -93.14210888)",29.64627646,-93.14210888
"(29.50456071 -93.27711069)",29.50456071,-93.27711069
"(29.10773811 -93.08510171)",29.10773811,-93.08510171
"(29.64886667 -93.13116389)",29.64886667,-93.13116389
"(29.1140902 -93.13845517)",29.1140902,-93.13845517
"(29.42301165 -93.16494207)",29.42301165,-93.16494207
"(29.66002861 -93.10215306)",29.66002861,-93.10215306
