API_WELL_NUMBER,SNWAR,DATE,COMMENTS
6.08124E+11,-185810,11/4/11,"11/04/2011: Arrived on location at 13:00 hrs. Began bottom survey with ROV. Ran compatts to bottom in work basket. R/U and ran 36"" conductor to 234' on Aft rotary. "
6.08124E+11,-185810,11/5/11,"11/05/2011: Completed bottom survey with ROV. Ran compatts with ROV and calibrated same. Install equipment on 36"" wellhead and TIH with 36"" casing and 30"" jetting assy on landing string. Continue RIH with 36"" casing 30"" jetting assy on landing string. "
6.08124E+11,-186323,11/6/11,"11/06/2011: Ran in hole with 36"" casing to 6777'. Monitored tag of seabed with ROV. Jetted 36"" casing from 7059' to 7364'. Allowed casing to soak. Released CADA tool and pull bit above LPH.  "
6.08124E+11,-272722,7/12/15,"07/12/2015: TIH with BHA #4 from 5 369' to 500' above mud line. Moved rig over well center and TIH with BHA #4 to 8 688'. Washed/reamed from 8 688' to 8 888' and began drilling 26"" hole from 8 888' to 9 834' with 10.1 ppg PAD mud. "
6.08124E+11,-272722,7/13/15,"07/13/2015: Drilled 26"" hole from 9 834' to TD at 10 568' and circulated hole clean. Displaced well from 10.1 ppg PAD mud to 12.5 ppg PAD Mud and TOH to wellhead. Washed wellhead with seawater and TOH to 500' above mud line. Moved rig to DOZ and TOH with BHA to 6 307'. "
6.08124E+11,-272722,7/14/15,"07/14/2015: TOH with BHA #4 from 6 307' to surface with FWD rotary. R/U 22"" casing handling equipment on AFT rotary and RIH with 22"" casing to 3 476'. R/D casing handling equipment. "
6.08124E+11,-272722,7/15/15,"07/15/2015: R/U and ran 22"" casing inner string to 3 307'. M/U Wellhead Lock Down tool and slacked off to 3 568'. Filled the drill string and casing with seawater. TIH from 3 568' to 500' above mud line and move the rig over well center. Stabbed 22"" casing into the 36"" LPWH and TIH to 10 494'. Washed down from 10 494' to 10 519' and landed and locked HPWH in the LPWH. "
6.08124E+11,-272722,7/16/15,07/16/2015: Pumped 13.5 ppg spacer followed by 14.0 ppg lead slurry and 16.4 ppg tail slurry and displaced cement with 8.6 ppg seawater. R/D cement manifold. Preloaded and set HPWH in LPWH. Released Wellhead Lock Down tool from HPWH. Dropped nerf ball into landing string and circulated landing string with 8.6 ppg seawater. TOH from 10 065' to 3 040' and L/D Wellhead Lock Down tool. 
6.08124E+11,-272722,7/17/15,07/17/2015: Moved rig to DOZ. TOH from 3 040' to surface with inner string. R/U CBL E-line equipemnt. P/U CBL E-Line tool string.  
6.08124E+11,-272722,7/18/15,07/18/2015: RIH with CBL E-line tool string to 300'. Calibrate and surface test tool string - good test. TIH from 300' to 900' with the tool string. ROV located and monitored tool string while RIH from 900' to 500' above mud line and began transit to well center. 
